target_digits,actual_digits,n,p,q,avg_seconds
4,4,9797,97,101,2.576674645145734e-05
6,5,28321,127,223,1.7966687058409054e-05
8,8,31824953,5507,5779,0.00019273324869573116
10,10,1634313749,39293,41593,0.0006965667319794496
12,12,772564049963,872251,885713,0.0005781332341333231
14,13,7567040361583,2458601,3077783,0.0004991999206443628
16,16,4475005866715127,66629389,67162643,0.015792499917248886
18,17,19082473966868443,131994547,144570169,0.005749000081171592
20,19,4812053277293357087,1939042957,2481664091,0.04492993326857686
25,23,20092222162954385308021,128355454547,156535787543,0.29304653336293995
30,30,755522711773600062537183945689,831706588729267,908400536934467,0.10641736669155459
